slice_size,avg_time_s,peak_memory_mb
100000,0.01082447099906858,0.09552478790283203
250000,0.026648398333539564,0.23926162719726562
500000,0.051875983001082204,0.4802255630493164
750000,0.07857699966310368,0.7186670303344727
1000000,0.10427038933266886,0.9570856094360352
