pattern_length,n,k,time_seconds_mean,time_seconds_min,time_seconds_max,peak_memory_mb,matches_found,bitmask_time_ms,bit_operations,state_vectors,implementation
5,5273,2,0.04705115199903957,0.04525744399870746,0.051991346990689635,0.24649467468261718,3878,0.0033740070648491383,108250,3,single-word
10,5273,2,0.04776614369766321,0.04733024400775321,0.04859763098647818,0.3410190582275391,4970,0.0036010023904964328,106066,3,single-word
20,5273,2,0.05079425889998675,0.047557732003042474,0.059538236004300416,0.3579692840576172,5260,0.006439004209823906,105486,3,single-word
50,5273,2,0.04811160009849118,0.047474790990236215,0.05019606799760368,0.3587169647216797,5269,0.011190000805072486,105468,3,single-word
64,5273,2,0.04852216459839838,0.047657940987846814,0.04915509300190024,0.3589038848876953,5271,0.014848992577753961,105464,3,single-word
