pattern_length,n,time_seconds_mean,time_seconds_min,time_seconds_max,peak_memory_mb,matches_found
5,1000000,0.10428205279749818,0.10328941499756183,0.10719161899760365,0.975407600402832,560
10,1000000,0.10407149180246052,0.10363810100534465,0.10661502201401163,0.954014778137207,5
20,1000000,0.10815880639711395,0.10765107300539967,0.10861224499240052,0.953862190246582,1
50,1000000,0.10836295769986463,0.10781093299738131,0.11067086399998516,0.953862190246582,1
100,1000000,0.10789842089725425,0.1073744989989791,0.10854378298972733,0.953862190246582,1
200,1000000,0.10671217979688663,0.10479562799446285,0.10901841698796488,0.953862190246582,1
400,1000000,0.10482327339996118,0.1035556290007662,0.10863913000503089,0.9547319412231445,1
800,1000000,0.10379821940005059,0.1031642610032577,0.1058951269951649,0.953892707824707,1
