pattern_length,n,k,time_seconds_mean,time_seconds_min,time_seconds_max,peak_memory_mb,matches_found,bitmask_time_ms,bit_operations,state_vectors,implementation
5,100000,3,1.957569782898645,1.6413016770093236,3.1159186069999123,7.010933876037598,79105,0.01102700480259955,2862685,4,single-word
10,100000,3,3.392218942298496,3.3692861210001865,3.4301845169975422,8.344859504699707,94718,0.013091004802845418,2815846,4,single-word
20,100000,3,3.4135880636997173,3.3999468380061444,3.438630983000621,8.728459358215332,99646,0.01649900514166802,2801062,4,single-word
50,100000,3,3.428935901603836,3.4194333659979748,3.4453344299981836,8.756745338439941,99999,0.029743998311460018,2800003,4,single-word
64,100000,3,3.2530327718995977,1.7418874699942535,3.4449596730119083,8.75658893585205,99997,0.020475010387599468,2800009,4,single-word
