pattern_length,n,time_seconds_mean,time_seconds_min,time_seconds_max,peak_memory_mb,matches_found,bitmask_time_ms,bit_operations,state_vectors,implementation
5,1000000,3.6183475913028813,3.5482347999932244,3.6981066340085818,27.286273574829103,747886,0.008609989890828729,3747886,1,single-word
10,1000000,4.212162124401948,4.151212577009574,4.322701495009824,34.228591728210446,944605,0.011752999853342772,3944605,1,single-word
20,1000000,4.212518082201131,4.157237253995845,4.3227036359894555,35.63181629180908,997174,0.013349999790079892,3997174,1,single-word
50,1000000,4.242326852999395,4.169387917005224,4.356083203005255,35.707181739807126,999998,0.022014995920471847,3999998,1,single-word
64,1000000,4.437494930598769,4.193866326007992,4.820151895997697,35.70721874237061,999996,0.024396009393967688,3999996,1,single-word
