pattern_length,n,time_seconds_mean,time_seconds_min,time_seconds_max,peak_memory_mb,matches_found
5,1000000,0.10369924630213063,0.1034768300014548,0.10380812000948936,1.003209114074707,1268
10,1000000,0.1057706650957698,0.10351967498718295,0.10762857600639109,0.953923225402832,3
20,1000000,0.1080527482990874,0.10362042899942026,0.12093238699890207,0.953862190246582,1
50,1000000,0.10656318419933086,0.10350355099944863,0.10882019800192211,0.953862190246582,1
100,1000000,0.10673483630089323,0.10354573400400113,0.10855040499882307,0.953862190246582,1
200,1000000,0.10873407600010979,0.10855625399562996,0.1093375839991495,0.953862190246582,1
400,1000000,0.10396255050000036,0.10366072598844767,0.10427699600404594,0.9547319412231445,1
800,1000000,0.10505711360165151,0.10384835601144005,0.11103422500309534,0.953892707824707,1
