pattern_length,n,time_seconds_mean,time_seconds_min,time_seconds_max,peak_memory_mb,matches_found
5,1000000,0.10585503310139757,0.10418804299843032,0.10977558500599116,1.013310432434082,1554
10,1000000,0.10930841259978478,0.10856154600332957,0.11168689400074072,0.953862190246582,1
20,1000000,0.10961328390258132,0.10843713401118293,0.1133333070029039,0.9547319412231445,1
50,1000000,0.10962614119780482,0.10839036699326243,0.11130284499085974,0.953862190246582,1
100,1000000,0.11052139910170808,0.1084730630100239,0.11210931099776644,0.953862190246582,1
200,1000000,0.11033424489869503,0.10599033199832775,0.12433547999535222,0.953862190246582,1
400,1000000,0.10568156439985614,0.10446824399696197,0.10965481400489807,0.953892707824707,1
800,1000000,0.10501888299913845,0.10421861699433066,0.10711884399643168,0.953892707824707,1
