pattern_length,n,time_seconds_mean,time_seconds_min,time_seconds_max,peak_memory_mb,matches_found
5,1000000,0.10361877259711036,0.10307267399912234,0.10435600300843362,0.989781379699707,936
10,1000000,0.10486074460059172,0.10278013699280564,0.10685660000308417,0.954106330871582,8
20,1000000,0.10629744499892695,0.1032683840021491,0.10911869799019769,0.9547319412231445,1
50,1000000,0.10626338620058959,0.10318584099877626,0.11049951099266764,0.953862190246582,1
100,1000000,0.11756701260164845,0.1031075140053872,0.14231993499561213,0.953862190246582,1
200,1000000,0.13553403270052514,0.1185015080118319,0.17448892499669455,0.9547319412231445,1
400,1000000,0.10593991470086621,0.10378328499791678,0.1076778779970482,0.953892707824707,1
800,1000000,0.1078474791982444,0.10440274899883661,0.11462119499628898,0.953892707824707,1
