pattern_length,n,time_seconds_mean,time_seconds_min,time_seconds_max,peak_memory_mb,matches_found,bitmask_time_ms,bit_operations,state_vectors,implementation
100,15358,0.23560876960254973,0.2097293529950548,0.3144953770097345,0.5481977462768555,15351,0.0624149979557842,230370,2,multi-word
200,15358,0.35805662029742963,0.3417951540031936,0.41135075299825985,0.4936513900756836,13830,0.12010800128336996,445382,4,multi-word
400,15358,0.551063341400004,0.5379571539961034,0.6136899980047019,0.528559684753418,15158,0.209060002816841,767900,7,multi-word
800,15358,0.849518866102153,0.5846737249958096,0.9693193020066246,0.5483007431030273,15352,0.41439499182160944,1412936,13,multi-word
