pattern_length,n,time_seconds_mean,time_seconds_min,time_seconds_max,peak_memory_mb,matches_found
5,1000000,0.1033669034979539,0.10275680699851364,0.1069969630043488,1.009892463684082,1442
10,1000000,0.10780257190344855,0.1073080780042801,0.10873487600474618,0.953923225402832,3
20,1000000,0.10781144139909885,0.1076216689980356,0.10805064700252842,0.953923225402832,3
50,1000000,0.10765788140124641,0.10730028299440164,0.1081830150069436,0.953923225402832,3
100,1000000,0.1092190767012653,0.1073391760000959,0.11431697900115978,0.953923225402832,3
200,1000000,0.10826416870258981,0.10675058700144291,0.11225629699765705,0.953923225402832,3
400,1000000,0.10439279840211384,0.1028409529972123,0.10783160300343297,0.953953742980957,3
800,1000000,0.10350810689706122,0.10278444598952774,0.1064843850035686,0.9547319412231445,1
