pattern_length,n,k,time_seconds_mean,time_seconds_min,time_seconds_max,peak_memory_mb,matches_found,bitmask_time_ms,bit_operations,state_vectors,implementation
5,100000,3,1.7909709872998065,1.6663623069907771,2.035294173998409,6.665503120422363,75731,0.008716000593267381,2872807,4,single-word
10,100000,3,1.7933743753979798,1.724132577990531,2.0414972319995286,8.309672737121582,94281,0.008810005965642631,2817157,4,single-word
20,100000,3,1.7547974345987314,1.744294717995217,1.7716529049939709,8.727471351623535,99634,0.015065001207403839,2801098,4,single-word
50,100000,3,1.7788649437992716,1.7286959320044843,2.017103035002947,8.756558418273926,99997,0.01714599784463644,2800009,4,single-word
64,100000,3,1.7473406811011956,1.7188100740022492,1.7910477359982906,8.756512641906738,99996,0.021579995518550277,2800012,4,single-word
