pattern_length,n,time_seconds_mean,time_seconds_min,time_seconds_max,peak_memory_mb,matches_found
5,1000000,0.10903474530059612,0.1040033780009253,0.1304387010022765,0.966710090637207,335
10,1000000,0.10514201300102285,0.10397513599309605,0.10587746799865272,0.954045295715332,6
20,1000000,0.10837023509811843,0.1041444739967119,0.10978275300294627,0.9547319412231445,1
50,1000000,0.10766697399812983,0.1042985439999029,0.10938641900429502,0.953862190246582,1
100,1000000,0.10733076170145069,0.10388603100727778,0.1101190659974236,0.953862190246582,1
200,1000000,0.10942015329783317,0.10837238699605223,0.11063141901104245,0.953862190246582,1
400,1000000,0.1061854115978349,0.10409348100074567,0.11705927099683322,0.953892707824707,1
800,1000000,0.1045870706991991,0.10410921298898757,0.10615100599534344,0.953892707824707,1
