pattern_length,n,time_seconds_mean,time_seconds_min,time_seconds_max,peak_memory_mb,matches_found,bitmask_time_ms,bit_operations,state_vectors,implementation
100,100000,0.7910224801977165,0.5737652120005805,1.1316615489922697,3.5227441787719727,99998,0.029757007723674178,1500000,2,multi-word
200,100000,1.1942857556030504,0.9147221839957638,1.590744953005924,3.265213966369629,90330,0.06378699617926031,2900000,4,multi-word
400,100000,2.6713372042999253,2.0159747439902276,3.783327011988149,3.490513801574707,98785,0.10694499360397458,5000000,7,multi-word
800,100000,6.1739385483975635,4.050466250992031,7.155974698995124,3.522702217102051,99991,0.392355999792926,9200000,13,multi-word
