pattern_length,n,time_seconds_mean,time_seconds_min,time_seconds_max,peak_memory_mb,matches_found,bitmask_time_ms,bit_operations,state_vectors,implementation
5,1000000,3.7342176403995837,3.5425347019918263,4.078281257010531,27.28672866821289,747902,0.008756003808230162,3747902,1,single-word
10,1000000,4.24188198389893,4.1296386390022235,4.352278424004908,34.22856388092041,944605,0.01315701229032129,3944605,1,single-word
20,1000000,4.2929761778010285,4.139987938004197,4.505280960991513,35.63186817169189,997176,0.015578989405184984,3997176,1,single-word
50,1000000,4.402690822002478,4.276821987004951,4.6237784450058825,35.70728740692139,999998,0.023482003598473966,3999998,1,single-word
64,1000000,4.428639277200273,4.303000312997028,4.58911089799949,35.7072172164917,999996,0.03189100243616849,3999996,1,single-word
