slice_size,avg_time_s,peak_memory_mb
100000,0.010273946002901843,0.09552478790283203
250000,0.026256370333915886,0.23928451538085938
500000,0.05161080966839412,0.48024845123291016
750000,0.07744186299775417,0.7186670303344727
1000000,0.1032514790034232,0.9570407867431641
