pattern_length,n,time_seconds_mean,time_seconds_min,time_seconds_max,peak_memory_mb,matches_found
5,1000000,0.10592703630100005,0.10357773100258783,0.1070507090043975,1.013340950012207,1555
10,1000000,0.10805952750233701,0.10397360500064678,0.11398926400579512,0.953862190246582,1
20,1000000,0.10923532259912463,0.10575709400291089,0.11217589199077338,0.953862190246582,1
50,1000000,0.108079864497995,0.10453195599257015,0.11071690499375109,0.9547319412231445,1
100,1000000,0.10797680169926024,0.10395599600451533,0.11107844499929342,0.953862190246582,1
200,1000000,0.11079000550234923,0.10940015599771868,0.11506612198718358,0.953862190246582,1
400,1000000,0.10650227309961338,0.10572129300271627,0.10720667098939884,0.953892707824707,1
800,1000000,0.10672042789810803,0.10546675699879415,0.10807632499199826,0.953892707824707,1
