pattern_length,n,k,time_seconds_mean,time_seconds_min,time_seconds_max,peak_memory_mb,matches_found,bitmask_time_ms,bit_operations,state_vectors,implementation
5,100000,1,0.9648521027993411,0.696016239002347,1.3215738619910553,6.61452808380127,75087,0.006493995897471905,1224913,2,single-word
10,100000,1,1.1050448064997909,0.9522991459962213,1.7397415390005335,8.309733772277832,94284,0.00813799852039665,1205716,2,single-word
20,100000,1,1.1064523511973676,1.013157996989321,1.194982360000722,8.728360176086426,99647,0.011116004316136241,1200353,2,single-word
50,100000,1,1.1448304711011588,1.0969935550092487,1.2554922190029174,8.75646686553955,99998,0.019287996110506356,1200002,2,single-word
64,100000,1,1.1495822848999524,1.07867169000383,1.3050359389890218,8.756482124328613,99998,0.034123004297725856,1200002,2,single-word
