pattern_length,n,k,time_seconds_mean,time_seconds_min,time_seconds_max,peak_memory_mb,matches_found,bitmask_time_ms,bit_operations,state_vectors,implementation
5,100000,3,1.762367748001998,1.6769835330051137,2.0346234580065357,6.613827705383301,75087,0.00825499591883272,2874739,4,single-word
10,100000,3,1.788669255102286,1.7418611600005534,1.8554461349995108,8.309886360168457,94284,0.00912998802959919,2817148,4,single-word
20,100000,3,1.7847731707050116,1.7592229950096225,1.8947854730067775,8.72851276397705,99647,0.014304998330771923,2801059,4,single-word
50,100000,3,2.7524926704994868,1.7641247610008577,3.4828553260012995,8.756638526916504,99998,0.03340099647175521,2800006,4,single-word
64,100000,3,3.454314886702923,3.4321691030054353,3.527821209994727,8.756672859191895,99998,0.03743301203940064,2800006,4,single-word
