pattern_length,n,time_seconds_mean,time_seconds_min,time_seconds_max,peak_memory_mb,matches_found,bitmask_time_ms,bit_operations,state_vectors,implementation
100,176631,3.0776561314996798,2.853762650003773,3.5867371299973456,6.2545928955078125,176619,0.08633801189716905,2649465,2,multi-word
200,176631,4.9012940750006235,4.291619882991654,5.482650111007388,5.629360198974609,158900,0.13533400488086045,5122299,4,multi-word
400,176631,6.378577961499104,4.997639228007756,7.27052733200253,6.207305908203125,174840,0.2512119972379878,8831550,7,multi-word
800,176631,10.805033822302358,9.083979820992681,12.503970436009695,6.254795074462891,176617,0.2631879906402901,16250052,13,multi-word
