pattern_length,n,time_seconds_mean,time_seconds_min,time_seconds_max,peak_memory_mb,matches_found
5,1000000,0.10418425140233012,0.10357106299488805,0.10557558400614653,1.026432991027832,1878
10,1000000,0.10422807989962166,0.10324659298930783,0.10692471500078682,0.953923225402832,3
20,1000000,0.10630404730181908,0.10307715499948245,0.10872851000749506,0.953862190246582,1
50,1000000,0.10627041940169875,0.10349963000044227,0.10836680899956264,0.953862190246582,1
100,1000000,0.10692957270075568,0.10316549200797454,0.1112393660005182,0.953862190246582,1
200,1000000,0.10883776450209552,0.10779453400755301,0.11300455000309739,0.953862190246582,1
400,1000000,0.1059772692999104,0.10367439199762885,0.11267852599848993,0.9547319412231445,1
800,1000000,0.10854926630127011,0.10398854399682023,0.12322654700255953,0.953892707824707,1
