pattern_length,n,time_seconds_mean,time_seconds_min,time_seconds_max,peak_memory_mb,matches_found
5,1000000,0.11088593849999598,0.1066082820034353,0.12167207499442156,0.981541633605957,719
10,1000000,0.1086182622006163,0.10613986699900124,0.11426744901109487,0.953953742980957,4
20,1000000,0.1194089021984837,0.10422229199321009,0.20227089700347278,0.953862190246582,1
50,1000000,0.1144099414043012,0.1061540940136183,0.12550868300604634,0.953862190246582,1
100,1000000,0.11009655309899244,0.10485263899317943,0.11774159299966414,0.953862190246582,1
200,1000000,0.10678990780143068,0.10479748601210304,0.1104657639953075,0.953862190246582,1
400,1000000,0.10799787389842094,0.10479910598951392,0.11428826999326702,0.953892707824707,1
800,1000000,0.10711723839776824,0.10486606799531728,0.11049319499579724,0.953892707824707,1
