pattern_length,n,time_seconds_mean,time_seconds_min,time_seconds_max,peak_memory_mb,matches_found
5,1000000,0.10314719190209871,0.10283743900072295,0.10415075600030832,0.968571662902832,384
10,1000000,0.10615156840212876,0.10272947500925511,0.10831563100509811,0.953862190246582,1
20,1000000,0.1059657189020072,0.10250379699573386,0.11007494801015127,0.953862190246582,1
50,1000000,0.10579628330160631,0.10244765698735137,0.10856557499209885,0.9547319412231445,1
100,1000000,0.10597078980354127,0.10281288900296204,0.108225236996077,0.953862190246582,1
200,1000000,0.10798134919896256,0.10767424500954803,0.10847637298866175,0.953862190246582,1
400,1000000,0.10496381329867291,0.1030066179955611,0.1201715639908798,0.953892707824707,1
800,1000000,0.10426878559810575,0.10299074499926064,0.10938703300780617,0.953892707824707,1
