pattern_length,n,time_seconds_mean,time_seconds_min,time_seconds_max,peak_memory_mb,matches_found
5,1000000,0.10310911209671758,0.10277567199955229,0.10360439299256541,0.998631477355957,1158
10,1000000,0.10650575069885235,0.10285459099395666,0.1146439959993586,0.953923225402832,3
20,1000000,0.10560006619780324,0.10273464499914553,0.10756663299980573,0.953862190246582,1
50,1000000,0.10603714600001694,0.1027907910029171,0.10842104199400637,0.953862190246582,1
100,1000000,0.1061303690992645,0.1031861560040852,0.10814558299898636,0.953862190246582,1
200,1000000,0.10786750160041265,0.10761695800465532,0.10827450599754229,0.953862190246582,1
400,1000000,0.10398128249798902,0.10315595999418292,0.10589611799514387,0.9547319412231445,1
800,1000000,0.10650774809910217,0.10446545500599314,0.1078563189948909,0.953892707824707,1
