pattern_length,n,time_seconds_mean,time_seconds_min,time_seconds_max,peak_memory_mb,matches_found
5,1000000,0.1037405826995382,0.10309481700824108,0.10677136700542178,0.9889001846313477,885
10,1000000,0.10358628309768392,0.10281207600201014,0.10536480099835899,0.953923225402832,3
20,1000000,0.10432354529912118,0.10262308099481743,0.10831537500780541,0.953862190246582,1
50,1000000,0.10558190620067762,0.10263286999543197,0.12923896599386353,0.953862190246582,1
100,1000000,0.10315474449889735,0.10257032301160507,0.10395768299349584,0.953862190246582,1
200,1000000,0.10294396020035493,0.10260451700014528,0.10398951399838552,0.953862190246582,1
400,1000000,0.10588073450053344,0.10339230099634733,0.11305317399092019,0.953892707824707,1
800,1000000,0.10393657170061488,0.10320732300169766,0.10623331899114419,0.953892707824707,1
