pattern_length,n,time_seconds_mean,time_seconds_min,time_seconds_max,peak_memory_mb,matches_found,bitmask_time_ms,bit_operations,state_vectors,implementation
100,5273,0.03058796780242119,0.029533293010899797,0.03385511500528082,0.1839427947998047,5267,0.022347012418322265,79095,2,multi-word
200,5273,0.05050899500201922,0.04805477500485722,0.0589940950012533,0.16788291931152344,4831,0.04508098936639726,152917,4,multi-word
400,5273,0.12091750639956445,0.08096344799560029,0.14545989299949724,0.1778087615966797,5220,0.14645200280938298,263650,7,multi-word
800,5273,0.24477848559763515,0.18923195499519352,0.2777714029944036,0.1841907501220703,5271,0.15415999223478138,485116,13,multi-word
