pattern_length,n,time_seconds_mean,time_seconds_min,time_seconds_max,peak_memory_mb,matches_found
5,1000000,0.1080603410024196,0.103684974994394,0.11395268900378142,1.009892463684082,1442
10,1000000,0.12134026440180605,0.103430297007435,0.15090176099329256,0.953923225402832,3
20,1000000,0.11802173510222928,0.1063460230070632,0.15083056999719702,0.953923225402832,3
50,1000000,0.16511661230324534,0.15612568201322574,0.1858665320032742,0.953923225402832,3
100,1000000,0.10838099680113374,0.10632158099906519,0.11385646600683685,0.953923225402832,3
200,1000000,0.10521771849889774,0.10368553300213534,0.108344809996197,0.953923225402832,3
400,1000000,0.10818340939877089,0.10482042499643285,0.11470203600765672,0.953953742980957,3
800,1000000,0.10494863129715667,0.10441273200558499,0.10724660099367611,0.953892707824707,1
