pattern_length,n,time_seconds_mean,time_seconds_min,time_seconds_max,peak_memory_mb,matches_found
5,1000000,0.11207513219997053,0.1086429830029374,0.12417779900715686,0.982762336730957,759
10,1000000,0.1148434940027073,0.10910301900003105,0.13938587400480174,0.953862190246582,1
20,1000000,0.11182797989895335,0.10885965600027703,0.11911532600061037,0.953862190246582,1
50,1000000,0.11232238279771992,0.10912475601071492,0.12198662500304636,0.9547319412231445,1
100,1000000,0.11147916189802345,0.10889523700461723,0.11573274500551634,0.953862190246582,1
200,1000000,0.11196865459933178,0.10969905600359198,0.1150132369948551,0.953862190246582,1
400,1000000,0.11398828500241506,0.1098512440075865,0.13259739099885337,0.9547319412231445,1
800,1000000,0.11459066240058746,0.1122876070003258,0.11816871201153845,0.953892707824707,1
