pattern_length,n,k,time_seconds_mean,time_seconds_min,time_seconds_max,peak_memory_mb,matches_found,bitmask_time_ms,bit_operations,state_vectors,implementation
5,100000,3,1.7340427126997384,1.660046365999733,1.9533601399889449,6.849186897277832,78027,0.013743003364652395,2865919,4,single-word
10,100000,3,1.7251096863037674,1.7104675150039839,1.7439006510103354,8.333117866516114,94573,0.008639995940029621,2816281,4,single-word
20,100000,3,1.7590833883004962,1.7290794130094582,1.8711996479978552,8.734360694885254,99720,0.010795003618113697,2800840,4,single-word
50,100000,3,1.7475272743962704,1.7272892210021382,1.7829378489986993,8.75639820098877,99995,0.020327992388047278,2800015,4,single-word
64,100000,3,1.7554804475978016,1.7257392180035822,1.8361131539859343,8.756512641906738,99996,0.020491002942435443,2800012,4,single-word
