pattern_length,n,time_seconds_mean,time_seconds_min,time_seconds_max,peak_memory_mb,matches_found
5,1000000,0.11003219430131139,0.10883568300050683,0.11114422000537161,0.969029426574707,399
10,1000000,0.10991448880376993,0.10923324999748729,0.11121062400343362,0.953953742980957,4
20,1000000,0.11061971489834832,0.10937558799923863,0.11353762599173933,0.953953742980957,4
50,1000000,0.10966127600113396,0.10932278899417724,0.1104772279941244,0.953953742980957,4
100,1000000,0.10994506149581866,0.10949153699039016,0.11075117299333215,0.953953742980957,4
200,1000000,0.11069547809893265,0.10998866098816507,0.11353662599867675,0.953953742980957,4
400,1000000,0.11089447140257107,0.1089627650071634,0.11838002399599645,0.953892707824707,1
800,1000000,0.1097954132972518,0.10941773999365978,0.11060666300181765,0.953892707824707,1
